Order_ID,Order_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Year,Month,Profit_Margin
ORD-2020-0044,2020-01-15 16:00:00,Same Day,Corporate,South,Furniture,Bookcases,774.74,8,0.1,69.01,2020,1,8.91
ORD-2020-0045,2020-01-16 00:00:00,Second Class,Home Office,East,Technology,Machines,1129.5,13,0.0,228.96,2020,1,20.27
ORD-2020-0046,2020-01-16 08:00:00,First Class,Corporate,West,Office Supplies,Art,127.6,12,0.2,36.79,2020,1,28.83
ORD-2020-0047,2020-01-16 16:00:00,Same Day,Consumer,West,Furniture,Chairs,983.83,5,0.0,84.49,2020,1,8.59
ORD-2020-0048,2020-01-17 00:00:00,Same Day,Consumer,East,Office Supplies,Storage,122.56,10,0.1,27.08,2020,1,22.1
ORD-2020-0049,2020-01-17 08:00:00,Second Class,Consumer,South,Office Supplies,Storage,28.89,12,0.4,-2.9,2020,1,-10.04
ORD-2020-0050,2020-01-17 16:00:00,Standard Class,Consumer,Central,Office Supplies,Binders,72.8,8,0.0,32.55,2020,1,44.71
ORD-2020-0051,2020-01-18 00:00:00,Standard Class,Consumer,Central,Furniture,Tables,574.75,9,0.1,26.76,2020,1,4.66
ORD-2020-0052,2020-01-18 08:00:00,Second Class,Home Office,West,Office Supplies,Paper,147.97,4,0.2,4.24,2020,1,2.87
ORD-2020-0053,2020-01-18 16:00:00,Same Day,Home Office,Central,Furniture,Furnishings,555.3,7,0.3,33.59,2020,1,6.05
ORD-2020-0054,2020-01-19 00:00:00,Second Class,Consumer,Central,Office Supplies,Paper,136.05,2,0.2,35.07,2020,1,25.78
ORD-2020-0055,2020-01-19 08:00:00,First Class,Corporate,East,Technology,Phones,1018.92,6,0.0,211.52,2020,1,20.76
ORD-2020-0056,2020-01-19 16:00:00,Standard Class,Consumer,West,Technology,Machines,978.89,8,0.2,129.03,2020,1,13.18
ORD-2020-0057,2020-01-20 00:00:00,First Class,Home Office,South,Furniture,Tables,529.02,12,0.0,67.97,2020,1,12.85
ORD-2020-0058,2020-01-20 08:00:00,Second Class,Consumer,West,Technology,Copiers,804.22,7,0.2,100.28,2020,1,12.47
ORD-2020-0059,2020-01-20 16:00:00,Second Class,Home Office,East,Technology,Accessories,849.85,7,0.4,81.06,2020,1,9.54
ORD-2020-0060,2020-01-21 00:00:00,Same Day,Home Office,Central,Office Supplies,Fasteners,171.49,8,0.2,19.02,2020,1,11.09
ORD-2020-0061,2020-01-21 08:00:00,Same Day,Consumer,South,Furniture,Furnishings,443.56,7,0.3,20.88,2020,1,4.71
ORD-2020-0062,2020-01-21 16:00:00,Same Day,Consumer,West,Office Supplies,Paper,48.73,5,0.0,18.58,2020,1,38.13
ORD-2020-0063,2020-01-22 00:00:00,First Class,Corporate,Central,Office Supplies,Art,57.87,7,0.2,-4.54,2020,1,-7.85
ORD-2020-0064,2020-01-22 08:00:00,Same Day,Home Office,West,Office Supplies,Binders,30.92,13,0.3,18.94,2020,1,61.25
ORD-2020-0065,2020-01-22 16:00:00,Second Class,Corporate,South,Office Supplies,Fasteners,170.65,14,0.0,39.08,2020,1,22.9
ORD-2020-0066,2020-01-23 00:00:00,Same Day,Consumer,West,Office Supplies,Binders,74.52,10,0.3,11.62,2020,1,15.59
ORD-2020-0067,2020-01-23 08:00:00,Standard Class,Home Office,West,Office Supplies,Binders,148.5,3,0.0,48.75,2020,1,32.83
ORD-2020-0068,2020-01-23 16:00:00,Same Day,Corporate,West,Office Supplies,Binders,110.92,5,0.2,11.48,2020,1,10.35
ORD-2020-0069,2020-01-24 00:00:00,First Class,Corporate,Central,Furniture,Bookcases,197.07,7,0.3,21.45,2020,1,10.88
ORD-2020-0070,2020-01-24 08:00:00,Standard Class,Corporate,South,Technology,Machines,723.91,9,0.2,117.75,2020,1,16.27
ORD-2020-0071,2020-01-24 16:00:00,Standard Class,Consumer,South,Office Supplies,Storage,84.11,2,0.0,14.47,2020,1,17.2
ORD-2020-0072,2020-01-25 00:00:00,Standard Class,Consumer,Central,Office Supplies,Binders,111.31,4,0.1,37.35,2020,1,33.55
ORD-2020-0073,2020-01-25 08:00:00,First Class,Consumer,Central,Office Supplies,Fasteners,72.64,12,0.1,-2.17,2020,1,-2.99
ORD-2020-0074,2020-01-25 16:00:00,Second Class,Home Office,Central,Office Supplies,Art,124.85,7,0.4,16.38,2020,1,13.12
ORD-2020-0075,2020-01-26 00:00:00,Same Day,Consumer,East,Office Supplies,Art,67.35,1,0.1,2.03,2020,1,3.01
ORD-2020-0076,2020-01-26 08:00:00,Standard Class,Home Office,West,Office Supplies,Paper,232.16,13,0.0,67.46,2020,1,29.06
ORD-2020-0077,2020-01-26 16:00:00,Standard Class,Corporate,West,Technology,Accessories,739.09,2,0.2,112.08,2020,1,15.16
ORD-2020-0078,2020-01-27 00:00:00,Standard Class,Corporate,South,Technology,Phones,1412.43,9,0.1,260.89,2020,1,18.47
ORD-2020-0079,2020-01-27 08:00:00,Second Class,Consumer,West,Office Supplies,Storage,132.6,13,0.2,37.42,2020,1,28.22
ORD-2020-0080,2020-01-27 16:00:00,Second Class,Corporate,East,Technology,Phones,1122.42,10,0.2,155.48,2020,1,13.85
ORD-2020-0081,2020-01-28 00:00:00,First Class,Consumer,Central,Furniture,Tables,677.41,7,0.3,26.44,2020,1,3.9
ORD-2020-0082,2020-01-28 08:00:00,Second Class,Home Office,South,Office Supplies,Art,126.87,12,0.1,32.62,2020,1,25.71
ORD-2020-0083,2020-01-28 16:00:00,Same Day,Corporate,South,Furniture,Bookcases,668.97,10,0.1,56.26,2020,1,8.41
ORD-2020-0084,2020-01-29 00:00:00,First Class,Consumer,West,Furniture,Bookcases,714.0,7,0.0,86.91,2020,1,12.17
ORD-2020-0085,2020-01-29 08:00:00,First Class,Corporate,South,Office Supplies,Binders,157.61,6,0.0,17.74,2020,1,11.26
ORD-2020-0086,2020-01-29 16:00:00,Same Day,Corporate,Central,Technology,Copiers,344.09,3,0.0,90.7,2020,1,26.36
ORD-2020-0087,2020-01-30 00:00:00,Same Day,Consumer,South,Furniture,Furnishings,595.52,10,0.0,64.87,2020,1,10.89
ORD-2020-0088,2020-01-30 08:00:00,Same Day,Corporate,Central,Office Supplies,Art,128.99,3,0.2,14.44,2020,1,11.19
ORD-2020-0089,2020-01-30 16:00:00,First Class,Corporate,East,Furniture,Furnishings,638.18,2,0.2,52.01,2020,1,8.15
ORD-2020-0090,2020-01-31 00:00:00,First Class,Corporate,East,Furniture,Chairs,893.66,11,0.1,88.94,2020,1,9.95
ORD-2020-0091,2020-01-31 08:00:00,First Class,Corporate,Central,Furniture,Furnishings,598.51,6,0.3,34.06,2020,1,5.69
ORD-2020-0092,2020-01-31 16:00:00,Same Day,Home Office,West,Furniture,Bookcases,596.07,4,0.5,-2.75,2020,1,-0.46
ORD-2020-0093,2020-02-01 00:00:00,Same Day,Corporate,South,Technology,Phones,508.05,5,0.3,52.95,2020,2,10.42
ORD-2020-0094,2020-02-01 08:00:00,Standard Class,Corporate,West,Furniture,Chairs,447.32,3,0.2,41.71,2020,2,9.32
ORD-2020-0095,2020-02-01 16:00:00,Second Class,Consumer,South,Furniture,Tables,525.46,6,0.1,49.63,2020,2,9.45
ORD-2020-0096,2020-02-02 00:00:00,Standard Class,Home Office,East,Furniture,Furnishings,599.23,11,0.1,49.37,2020,2,8.24
ORD-2020-0097,2020-02-02 08:00:00,Same Day,Consumer,East,Technology,Accessories,1554.0,12,0.0,323.88,2020,2,20.84
ORD-2020-0098,2020-02-02 16:00:00,First Class,Consumer,East,Furniture,Bookcases,392.21,3,0.1,40.73,2020,2,10.38
ORD-2020-0099,2020-02-03 00:00:00,Same Day,Consumer,South,Furniture,Chairs,585.6,14,0.4,31.59,2020,2,5.39
ORD-2020-0100,2020-02-03 08:00:00,Second Class,Home Office,East,Technology,Phones,635.58,14,0.3,65.81,2020,2,10.35
ORD-2020-0101,2020-02-03 16:00:00,Standard Class,Consumer,East,Technology,Phones,1202.78,8,0.0,235.48,2020,2,19.58
ORD-2020-0102,2020-02-04 00:00:00,Standard Class,Consumer,East,Technology,Machines,1123.93,9,0.1,174.07,2020,2,15.49
ORD-2020-0103,2020-02-04 08:00:00,First Class,Consumer,East,Furniture,Bookcases,400.99,4,0.3,19.46,2020,2,4.85
ORD-2020-0104,2020-02-04 16:00:00,Standard Class,Corporate,West,Technology,Accessories,1068.92,9,0.0,223.14,2020,2,20.88
ORD-2020-0105,2020-02-05 00:00:00,Standard Class,Consumer,East,Technology,Accessories,827.59,12,0.1,138.65,2020,2,16.75
ORD-2020-0106,2020-02-05 08:00:00,Same Day,Home Office,East,Furniture,Tables,188.39,7,0.3,14.82,2020,2,7.87
ORD-2020-0107,2020-02-05 16:00:00,Standard Class,Home Office,West,Technology,Copiers,860.17,3,0.1,157.34,2020,2,18.29
ORD-2020-0108,2020-02-06 00:00:00,Standard Class,Corporate,West,Furniture,Chairs,297.39,7,0.0,33.47,2020,2,11.25
ORD-2020-0109,2020-02-06 08:00:00,Standard Class,Home Office,South,Office Supplies,Fasteners,108.9,14,0.1,27.85,2020,2,25.57
ORD-2020-0110,2020-02-06 16:00:00,First Class,Home Office,Central,Technology,Accessories,832.56,1,0.3,78.0,2020,2,9.37
ORD-2020-0111,2020-02-07 00:00:00,First Class,Corporate,East,Office Supplies,Binders,140.29,3,0.1,26.59,2020,2,18.95
ORD-2020-0112,2020-02-07 08:00:00,Same Day,Consumer,East,Furniture,Tables,862.62,6,0.0,103.53,2020,2,12.0
ORD-2020-0113,2020-02-07 16:00:00,Standard Class,Corporate,East,Technology,Copiers,398.6,4,0.1,68.8,2020,2,17.26
ORD-2020-0114,2020-02-08 00:00:00,First Class,Consumer,South,Furniture,Furnishings,766.91,7,0.1,84.15,2020,2,10.97
ORD-2020-0115,2020-02-08 08:00:00,First Class,Consumer,East,Office Supplies,Storage,92.19,14,0.1,12.36,2020,2,13.41
ORD-2020-0116,2020-02-08 16:00:00,Same Day,Home Office,Central,Furniture,Chairs,479.24,3,0.2,35.89,2020,2,7.49
ORD-2020-0117,2020-02-09 00:00:00,Second Class,Corporate,West,Technology,Accessories,1586.98,1,0.0,313.57,2020,2,19.76
ORD-2020-0118,2020-02-09 08:00:00,Standard Class,Home Office,South,Technology,Phones,219.48,9,0.3,30.06,2020,2,13.7
ORD-2020-0119,2020-02-09 16:00:00,First Class,Home Office,West,Office Supplies,Binders,157.68,6,0.0,48.37,2020,2,30.68
ORD-2020-0120,2020-02-10 00:00:00,Same Day,Consumer,East,Furniture,Chairs,718.84,8,0.1,67.13,2020,2,9.34
ORD-2020-0121,2020-02-10 08:00:00,Same Day,Home Office,East,Technology,Phones,894.99,3,0.0,189.42,2020,2,21.16
ORD-2020-0122,2020-02-10 16:00:00,Same Day,Corporate,East,Office Supplies,Binders,78.67,8,0.1,16.58,2020,2,21.08
ORD-2020-0123,2020-02-11 00:00:00,First Class,Home Office,Central,Technology,Machines,586.81,2,0.1,97.85,2020,2,16.67
ORD-2020-0124,2020-02-11 08:00:00,Standard Class,Home Office,Central,Technology,Machines,1463.01,12,0.1,231.13,2020,2,15.8
ORD-2020-0125,2020-02-11 16:00:00,Second Class,Consumer,South,Furniture,Tables,642.02,4,0.0,70.59,2020,2,10.99
ORD-2020-0126,2020-02-12 00:00:00,Standard Class,Corporate,West,Technology,Accessories,637.07,3,0.2,90.91,2020,2,14.27
ORD-2020-0127,2020-02-12 08:00:00,Same Day,Home Office,East,Furniture,Chairs,648.78,10,0.0,64.2,2020,2,9.9
ORD-2020-0128,2020-02-12 16:00:00,Same Day,Consumer,East,Technology,Copiers,1043.27,1,0.2,144.15,2020,2,13.82
ORD-2020-0129,2020-02-13 00:00:00,Second Class,Home Office,East,Office Supplies,Storage,41.49,13,0.4,3.78,2020,2,9.11
ORD-2020-0130,2020-02-13 08:00:00,Standard Class,Corporate,East,Technology,Machines,974.15,13,0.0,192.47,2020,2,19.76
ORD-2020-0131,2020-02-13 16:00:00,Same Day,Home Office,Central,Furniture,Bookcases,709.1,7,0.1,54.99,2020,2,7.75
ORD-2020-0132,2020-02-14 00:00:00,Same Day,Home Office,West,Furniture,Tables,1033.73,11,0.1,90.26,2020,2,8.73
ORD-2020-0133,2020-02-14 08:00:00,Standard Class,Consumer,West,Office Supplies,Storage,90.51,10,0.0,27.47,2020,2,30.35
ORD-2020-0134,2020-02-14 16:00:00,Same Day,Home Office,South,Technology,Machines,754.99,2,0.1,120.64,2020,2,15.98
ORD-2020-0135,2020-02-15 00:00:00,Standard Class,Consumer,Central,Technology,Machines,695.23,4,0.2,93.32,2020,2,13.42
ORD-2020-0136,2020-02-15 08:00:00,Same Day,Corporate,East,Office Supplies,Paper,145.0,9,0.1,28.77,2020,2,19.84
ORD-2020-0137,2020-02-15 16:00:00,Standard Class,Home Office,West,Technology,Copiers,835.1,6,0.0,167.07,2020,2,20.01
ORD-2020-0138,2020-02-16 00:00:00,Second Class,Corporate,West,Technology,Copiers,770.19,8,0.3,83.44,2020,2,10.83
ORD-2020-0139,2020-02-16 08:00:00,Same Day,Corporate,Central,Furniture,Bookcases,883.61,2,0.1,81.7,2020,2,9.25
ORD-2020-0140,2020-02-16 16:00:00,Second Class,Home Office,South,Technology,Machines,950.65,7,0.3,88.05,2020,2,9.26
ORD-2020-0141,2020-02-17 00:00:00,Same Day,Consumer,South,Technology,Phones,872.6,6,0.1,133.59,2020,2,15.31
ORD-2020-0142,2020-02-17 08:00:00,Same Day,Corporate,East,Office Supplies,Binders,191.56,13,0.1,42.64,2020,2,22.26
ORD-2020-0143,2020-02-17 16:00:00,First Class,Corporate,South,Office Supplies,Art,151.63,14,0.0,31.88,2020,2,21.02
ORD-2020-0144,2020-02-18 00:00:00,Standard Class,Home Office,West,Furniture,Tables,739.91,9,0.0,82.83,2020,2,11.19
ORD-2020-0145,2020-02-18 08:00:00,Second Class,Home Office,South,Technology,Machines,175.64,7,0.5,20.48,2020,2,11.66
ORD-2020-0146,2020-02-18 16:00:00,Second Class,Home Office,East,Technology,Machines,1780.04,1,0.0,358.35,2020,2,20.13
ORD-2020-0147,2020-02-19 00:00:00,Second Class,Home Office,West,Technology,Copiers,242.23,14,0.5,1.39,2020,2,0.57
ORD-2020-0148,2020-02-19 08:00:00,Standard Class,Home Office,South,Furniture,Chairs,388.02,8,0.1,43.53,2020,2,11.22
ORD-2020-0149,2020-02-19 16:00:00,First Class,Home Office,South,Furniture,Tables,251.7,11,0.0,27.16,2020,2,10.79
ORD-2020-0150,2020-02-20 00:00:00,Second Class,Consumer,Central,Office Supplies,Binders,168.0,10,0.0,27.13,2020,2,16.15
ORD-2020-0151,2020-02-20 08:00:00,Standard Class,Corporate,East,Furniture,Chairs,424.7,3,0.0,28.48,2020,2,6.71
ORD-2020-0152,2020-02-20 16:00:00,Same Day,Consumer,South,Technology,Phones,342.01,14,0.4,42.53,2020,2,12.44
ORD-2020-0153,2020-02-21 00:00:00,Second Class,Consumer,Central,Technology,Phones,389.55,2,0.1,79.73,2020,2,20.47
ORD-2020-0154,2020-02-21 08:00:00,Second Class,Home Office,West,Furniture,Bookcases,272.98,12,0.1,-1.97,2020,2,-0.72
ORD-2020-0155,2020-02-21 16:00:00,First Class,Corporate,Central,Technology,Machines,1177.01,3,0.0,221.82,2020,2,18.85
ORD-2020-0156,2020-02-22 00:00:00,Second Class,Consumer,Central,Technology,Phones,1332.31,11,0.0,277.87,2020,2,20.86
ORD-2020-0157,2020-02-22 08:00:00,Second Class,Home Office,South,Furniture,Tables,537.64,6,0.1,45.51,2020,2,8.46
ORD-2020-0158,2020-02-22 16:00:00,Same Day,Home Office,South,Furniture,Furnishings,679.9,13,0.0,75.01,2020,2,11.03
ORD-2020-0159,2020-02-23 00:00:00,Standard Class,Corporate,South,Technology,Accessories,930.27,14,0.3,101.71,2020,2,10.93
ORD-2020-0160,2020-02-23 08:00:00,Standard Class,Consumer,Central,Technology,Accessories,293.46,3,0.1,56.43,2020,2,19.23
ORD-2020-0161,2020-02-23 16:00:00,First Class,Consumer,West,Technology,Accessories,706.23,10,0.1,120.12,2020,2,17.01
ORD-2020-0162,2020-02-24 00:00:00,Same Day,Consumer,East,Office Supplies,Fasteners,211.16,5,0.1,40.49,2020,2,19.18
ORD-2020-0163,2020-02-24 08:00:00,Standard Class,Home Office,Central,Office Supplies,Storage,140.42,6,0.1,40.43,2020,2,28.79
ORD-2020-0164,2020-02-24 16:00:00,Same Day,Corporate,South,Office Supplies,Paper,45.42,8,0.5,4.86,2020,2,10.7
ORD-2020-0165,2020-02-25 00:00:00,Standard Class,Corporate,East,Furniture,Chairs,649.56,7,0.1,61.74,2020,2,9.5
ORD-2020-0166,2020-02-25 08:00:00,Same Day,Consumer,West,Office Supplies,Fasteners,108.53,14,0.0,28.71,2020,2,26.45
ORD-2020-0167,2020-02-25 16:00:00,First Class,Home Office,East,Furniture,Bookcases,585.8,11,0.2,36.14,2020,2,6.17
ORD-2020-0168,2020-02-26 00:00:00,Second Class,Consumer,South,Furniture,Bookcases,325.74,8,0.0,48.66,2020,2,14.94
ORD-2020-0169,2020-02-26 08:00:00,First Class,Corporate,Central,Office Supplies,Art,66.54,3,0.0,20.19,2020,2,30.34
ORD-2020-0170,2020-02-26 16:00:00,Standard Class,Home Office,Central,Office Supplies,Fasteners,34.35,4,0.5,-1.4,2020,2,-4.08
ORD-2020-0171,2020-02-27 00:00:00,First Class,Consumer,South,Office Supplies,Art,182.37,6,0.2,44.7,2020,2,24.51
ORD-2020-0172,2020-02-27 08:00:00,Second Class,Consumer,Central,Technology,Copiers,699.67,11,0.5,21.78,2020,2,3.11
ORD-2020-0173,2020-02-27 16:00:00,First Class,Home Office,South,Office Supplies,Fasteners,65.23,7,0.1,36.22,2020,2,55.53
ORD-2020-0174,2020-02-28 00:00:00,Standard Class,Corporate,Central,Technology,Copiers,524.27,9,0.1,87.33,2020,2,16.66
ORD-2020-0175,2020-02-28 08:00:00,Standard Class,Home Office,Central,Furniture,Chairs,930.83,13,0.0,80.4,2020,2,8.64
ORD-2020-0176,2020-02-28 16:00:00,First Class,Consumer,Central,Technology,Phones,534.25,1,0.0,125.91,2020,2,23.57
ORD-2020-0177,2020-02-29 00:00:00,Second Class,Consumer,West,Office Supplies,Art,60.84,13,0.3,3.73,2020,2,6.13
ORD-2020-0178,2020-02-29 08:00:00,First Class,Consumer,West,Furniture,Furnishings,1047.01,8,0.1,91.43,2020,2,8.73
ORD-2020-0179,2020-02-29 16:00:00,Second Class,Consumer,South,Furniture,Chairs,318.71,8,0.3,24.71,2020,2,7.75
ORD-2020-0180,2020-03-01 00:00:00,Same Day,Corporate,West,Furniture,Tables,689.31,6,0.2,60.09,2020,3,8.72
ORD-2020-0181,2020-03-01 08:00:00,Second Class,Corporate,South,Technology,Machines,1767.95,4,0.0,356.59,2020,3,20.17
ORD-2020-0182,2020-03-01 16:00:00,Same Day,Consumer,East,Office Supplies,Storage,103.37,3,0.1,15.49,2020,3,14.99
ORD-2020-0183,2020-03-02 00:00:00,First Class,Corporate,East,Furniture,Bookcases,174.01,11,0.2,14.37,2020,3,8.26
ORD-2020-0184,2020-03-02 08:00:00,Second Class,Corporate,West,Furniture,Furnishings,444.15,3,0.0,40.22,2020,3,9.06
ORD-2020-0185,2020-03-02 16:00:00,Same Day,Corporate,East,Furniture,Furnishings,721.61,6,0.3,42.18,2020,3,5.85
ORD-2020-0186,2020-03-03 00:00:00,Same Day,Consumer,East,Technology,Accessories,1437.22,13,0.1,260.61,2020,3,18.13
ORD-2020-0187,2020-03-03 08:00:00,Same Day,Home Office,Central,Technology,Machines,1452.78,8,0.0,298.12,2020,3,20.52
ORD-2020-0188,2020-03-03 16:00:00,Standard Class,Home Office,Central,Office Supplies,Storage,56.36,7,0.1,14.04,2020,3,24.91
ORD-2020-0189,2020-03-04 00:00:00,First Class,Home Office,South,Technology,Phones,746.63,11,0.5,44.72,2020,3,5.99
ORD-2020-0190,2020-03-04 08:00:00,Same Day,Consumer,East,Furniture,Furnishings,1118.68,1,0.0,119.97,2020,3,10.72
ORD-2020-0191,2020-03-04 16:00:00,Second Class,Corporate,South,Office Supplies,Storage,112.09,11,0.3,4.63,2020,3,4.13
ORD-2020-0192,2020-03-05 00:00:00,Same Day,Corporate,South,Furniture,Tables,1140.88,6,0.0,114.5,2020,3,10.04
ORD-2020-0193,2020-03-05 08:00:00,Standard Class,Consumer,East,Furniture,Tables,821.47,7,0.2,83.13,2020,3,10.12
ORD-2020-0194,2020-03-05 16:00:00,First Class,Consumer,West,Technology,Copiers,1040.37,12,0.2,157.78,2020,3,15.17
ORD-2020-0195,2020-03-06 00:00:00,Standard Class,Home Office,East,Office Supplies,Paper,155.44,7,0.0,33.82,2020,3,21.76
ORD-2020-0196,2020-03-06 08:00:00,Standard Class,Home Office,Central,Technology,Accessories,822.86,9,0.0,158.54,2020,3,19.27
ORD-2020-0197,2020-03-06 16:00:00,Standard Class,Consumer,East,Technology,Machines,431.14,11,0.2,54.0,2020,3,12.52
ORD-2020-0198,2020-03-07 00:00:00,Second Class,Home Office,West,Office Supplies,Art,144.89,11,0.1,39.45,2020,3,27.23
ORD-2020-0199,2020-03-07 08:00:00,First Class,Corporate,South,Furniture,Tables,414.49,10,0.2,45.09,2020,3,10.88
ORD-2020-0200,2020-03-07 16:00:00,First Class,Consumer,South,Furniture,Chairs,1066.44,5,0.0,112.47,2020,3,10.55
ORD-2020-0201,2020-03-08 00:00:00,Second Class,Consumer,Central,Office Supplies,Paper,167.07,1,0.3,24.54,2020,3,14.69
